quarter	gdp_current	gdp_chained
1947q1	243.1	1934.5
1947q2	246.3	1932.3
1947q3	250.1	1930.3
1947q4	260.3	1960.7
1948q1	266.2	1989.5
1948q2	272.9	2021.9
1948q3	279.5	2033.2
1948q4	280.7	2035.3
1949q1	275.4	2007.5
1949q2	271.7	2000.8
1949q3	273.3	2022.8
1949q4	271.0	2004.7
1950q1	281.2	2084.6
1950q2	290.7	2147.6
1950q3	308.5	2230.4
1950q4	320.3	2273.4
1951q1	336.4	2304.5
1951q2	344.5	2344.5
1951q3	351.8	2392.8
1951q4	356.6	2398.1
1952q1	360.2	2423.5
1952q2	361.4	2428.5
1952q3	368.1	2446.1
1952q4	381.2	2526.4
1953q1	388.5	2573.4
1953q2	392.3	2593.5
1953q3	391.7	2578.9
1953q4	386.5	2539.8
1954q1	385.9	2528.0
1954q2	386.7	2530.7
1954q3	391.6	2559.4
1954q4	400.3	2609.3
1955q1	413.8	2683.8
1955q2	422.2	2727.5
1955q3	430.9	2764.1
1955q4	437.8	2780.8
1956q1	440.5	2770.0
1956q2	446.8	2792.9
1956q3	452.0	2790.6
1956q4	461.3	2836.2
1957q1	470.6	2854.5
1957q2	472.8	2848.2
1957q3	480.3	2875.9
1957q4	475.7	2846.4
1958q1	468.4	2772.7
1958q2	472.8	2790.9
1958q3	486.7	2855.5
1958q4	500.4	2922.3
1959q1	511.1	2976.6
1959q2	524.2	3049.0
1959q3	525.2	3043.1
1959q4	529.3	3055.1
1960q1	543.3	3123.2
1960q2	542.7	3111.3
1960q3	546.0	3119.1
1960q4	541.1	3081.3
1961q1	545.9	3102.3
1961q2	557.4	3159.9
1961q3	568.2	3212.6
1961q4	581.6	3277.7
1962q1	595.2	3336.8
1962q2	602.6	3372.7
1962q3	609.6	3404.8
1962q4	613.1	3418.0
1963q1	622.7	3456.1
1963q2	631.8	3501.1
1963q3	645.0	3569.5
1963q4	654.8	3595.0
1964q1	671.1	3672.7
1964q2	680.8	3716.4
1964q3	692.8	3766.9
1964q4	698.4	3780.2
1965q1	719.2	3873.5
1965q2	732.4	3926.4
1965q3	750.2	4006.2
1965q4	773.1	4100.6
1966q1	797.3	4201.9
1966q2	807.2	4219.1
1966q3	820.8	4249.2
1966q4	834.9	4285.6
1967q1	846.0	4324.9
1967q2	851.1	4328.7
1967q3	866.6	4366.1
